3.7118 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x140E84D0>, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x165A1630>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
3.7118 	EXP 	window1: recordFrameIntervals = False
3.8783 	EXP 	window1: recordFrameIntervals = True
4.0618 	EXP 	window1: recordFrameIntervals = False
4.1715 	EXP 	Created instrText = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='instrText', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=str(...), units='height', win=Window(...), wrapWidth=1.5)
4.1891 	EXP 	Created blank = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.2, italic=False, languageStyle='LTR', name='blank', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='+', units='height', win=Window(...), wrapWidth=1)
4.1925 	EXP 	Created blk1 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=0.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', fillRGB=array([1., 1., 1.]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1., 1., 1.]), lineWidth=1, name='blk1', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([1., 1.]), units='height', vertices=ndarray(...), win=Window(...))
4.1935 	EXP 	Created blk2 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=-1.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', fillRGB=array([1., 1., 1.]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1., 1., 1.]), lineWidth=1, name='blk2', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([1., 1.]), units='height', vertices=ndarray(...), win=Window(...))
4.1946 	EXP 	Created blk3 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=-2.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', fillRGB=array([1., 1., 1.]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1., 1., 1.]), lineWidth=1, name='blk3', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([1., 1.]), units='height', vertices=ndarray(...), win=Window(...))
4.1956 	EXP 	Created blk4 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=-3.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', fillRGB=array([1., 1., 1.]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1., 1., 1.]), lineWidth=1, name='blk4', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([1., 1.]), units='height', vertices=ndarray(...), win=Window(...))
4.1965 	EXP 	Created blk5 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=-4.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', fillRGB=array([1., 1., 1.]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1., 1., 1.]), lineWidth=1, name='blk5', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([1., 1.]), units='height', vertices=ndarray(...), win=Window(...))
4.2270 	EXP 	Created thanksText = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.07, italic=False, languageStyle='LTR', name='thanksText', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Great! Thanks for your help!\n\nAll done!', units='height', win=Window(...), wrapWidth=1)
4.2336 	EXP 	instrText: autoDraw = True
4.7794 	DATA 	Mouse: Left button down, pos=(847,346)
4.9294 	DATA 	Mouse:  Left button up, pos=(847,346)
5.6971 	DATA 	Keypress: return
5.7187 	EXP 	Imported conditions.xlsx as conditions, 1 conditions, 2 params
5.7190 	EXP 	Created sequence: random, trialTypes=1, nReps=5, seed=None
5.7192 	EXP 	New trial (rep=0, index=0): OrderedDict([('sequence', ['blk1', 'blk2', 'blk3', 'blk4', 'blk5']), ('blockDuration', 0.5)])
5.7238 	EXP 	instrText: autoDraw = False
5.7238 	EXP 	blank: autoDraw = True
6.2303 	EXP 	blank: autoDraw = False
6.2303 	EXP 	blk1: pos = array([0.33070333, 0.30675392])
6.2303 	EXP 	blk1: fillColor = 'white'
6.2303 	EXP 	blk1: lineColor = 'white'
6.2303 	EXP 	blk1: color = 'white'
6.2303 	EXP 	blk2: pos = array([ 0.15826051, -0.15195917])
6.2303 	EXP 	blk2: fillColor = 'white'
6.2303 	EXP 	blk2: lineColor = 'white'
6.2303 	EXP 	blk2: color = 'white'
6.2303 	EXP 	blk3: pos = array([ 0.26101772, -0.34082644])
6.2303 	EXP 	blk3: fillColor = 'white'
6.2303 	EXP 	blk3: lineColor = 'white'
6.2303 	EXP 	blk3: color = 'white'
6.2303 	EXP 	blk4: pos = array([-0.37930029, -0.09226334])
6.2303 	EXP 	blk4: fillColor = 'white'
6.2303 	EXP 	blk4: lineColor = 'white'
6.2303 	EXP 	blk4: color = 'white'
6.2303 	EXP 	blk5: pos = array([-0.24914233,  0.17902222])
6.2303 	EXP 	blk5: fillColor = 'white'
6.2303 	EXP 	blk5: lineColor = 'white'
6.2303 	EXP 	blk5: color = 'white'
6.2303 	EXP 	blk1: autoDraw = True
6.2303 	EXP 	blk2: autoDraw = True
6.2303 	EXP 	blk3: autoDraw = True
6.2303 	EXP 	blk4: autoDraw = True
6.2303 	EXP 	blk5: autoDraw = True
6.7310 	EXP 	blk1: fillColor = 'red'
6.7310 	EXP 	blk1: lineColor = 'red'
6.7310 	EXP 	blk1: color = 'red'
7.2312 	EXP 	blk1: fillColor = 'white'
7.2312 	EXP 	blk1: lineColor = 'white'
7.2312 	EXP 	blk1: color = 'white'
7.2312 	EXP 	blk2: fillColor = 'red'
7.2312 	EXP 	blk2: lineColor = 'red'
7.2312 	EXP 	blk2: color = 'red'
7.7317 	EXP 	blk2: fillColor = 'white'
7.7317 	EXP 	blk2: lineColor = 'white'
7.7317 	EXP 	blk2: color = 'white'
7.7317 	EXP 	blk3: fillColor = 'red'
7.7317 	EXP 	blk3: lineColor = 'red'
7.7317 	EXP 	blk3: color = 'red'
8.2324 	EXP 	blk3: fillColor = 'white'
8.2324 	EXP 	blk3: lineColor = 'white'
8.2324 	EXP 	blk3: color = 'white'
8.2324 	EXP 	blk4: fillColor = 'red'
8.2324 	EXP 	blk4: lineColor = 'red'
8.2324 	EXP 	blk4: color = 'red'
8.7328 	EXP 	blk4: fillColor = 'white'
8.7328 	EXP 	blk4: lineColor = 'white'
8.7328 	EXP 	blk4: color = 'white'
8.7328 	EXP 	blk5: fillColor = 'red'
8.7328 	EXP 	blk5: lineColor = 'red'
8.7328 	EXP 	blk5: color = 'red'
9.2333 	EXP 	blk5: fillColor = 'white'
9.2333 	EXP 	blk5: lineColor = 'white'
9.2333 	EXP 	blk5: color = 'white'
9.5341 	DATA 	Mouse: Left button down, pos=(1334,859)
9.5504 	EXP 	blk1: fillColor = 'darkgrey'
9.5504 	EXP 	blk1: lineColor = 'darkgrey'
9.5504 	EXP 	blk1: color = 'darkgrey'
9.5669 	EXP 	blk1: fillColor = 'darkgrey'
9.5669 	EXP 	blk1: lineColor = 'darkgrey'
9.5669 	EXP 	blk1: color = 'darkgrey'
9.5837 	EXP 	blk1: fillColor = 'darkgrey'
9.5837 	EXP 	blk1: lineColor = 'darkgrey'
9.5837 	EXP 	blk1: color = 'darkgrey'
9.6004 	EXP 	blk1: fillColor = 'darkgrey'
9.6004 	EXP 	blk1: lineColor = 'darkgrey'
9.6004 	EXP 	blk1: color = 'darkgrey'
9.6172 	EXP 	blk1: fillColor = 'darkgrey'
9.6172 	EXP 	blk1: lineColor = 'darkgrey'
9.6172 	EXP 	blk1: color = 'darkgrey'
9.6177 	DATA 	Mouse:  Left button up, pos=(1334,859)
9.6337 	EXP 	blk1: fillColor = 'darkgrey'
9.6337 	EXP 	blk1: lineColor = 'darkgrey'
9.6337 	EXP 	blk1: color = 'darkgrey'
9.6503 	EXP 	blk1: fillColor = 'darkgrey'
9.6503 	EXP 	blk1: lineColor = 'darkgrey'
9.6503 	EXP 	blk1: color = 'darkgrey'
9.6671 	EXP 	blk1: fillColor = 'darkgrey'
9.6671 	EXP 	blk1: lineColor = 'darkgrey'
9.6671 	EXP 	blk1: color = 'darkgrey'
9.6838 	EXP 	blk1: fillColor = 'darkgrey'
9.6838 	EXP 	blk1: lineColor = 'darkgrey'
9.6838 	EXP 	blk1: color = 'darkgrey'
9.7005 	EXP 	blk1: fillColor = 'darkgrey'
9.7005 	EXP 	blk1: lineColor = 'darkgrey'
9.7005 	EXP 	blk1: color = 'darkgrey'
9.7173 	EXP 	blk1: fillColor = 'darkgrey'
9.7173 	EXP 	blk1: lineColor = 'darkgrey'
9.7173 	EXP 	blk1: color = 'darkgrey'
9.7337 	EXP 	blk1: fillColor = 'darkgrey'
9.7337 	EXP 	blk1: lineColor = 'darkgrey'
9.7337 	EXP 	blk1: color = 'darkgrey'
9.7505 	EXP 	blk1: fillColor = 'darkgrey'
9.7505 	EXP 	blk1: lineColor = 'darkgrey'
9.7505 	EXP 	blk1: color = 'darkgrey'
9.7511 	DATA 	Mouse: Left button down, pos=(1334,859)
9.7672 	EXP 	blk1: fillColor = 'darkgrey'
9.7672 	EXP 	blk1: lineColor = 'darkgrey'
9.7672 	EXP 	blk1: color = 'darkgrey'
9.7672 	EXP 	blk1: fillColor = 'darkgrey'
9.7672 	EXP 	blk1: lineColor = 'darkgrey'
9.7672 	EXP 	blk1: color = 'darkgrey'
9.7840 	EXP 	blk1: fillColor = 'darkgrey'
9.7840 	EXP 	blk1: lineColor = 'darkgrey'
9.7840 	EXP 	blk1: color = 'darkgrey'
9.7840 	EXP 	blk1: fillColor = 'darkgrey'
9.7840 	EXP 	blk1: lineColor = 'darkgrey'
9.7840 	EXP 	blk1: color = 'darkgrey'
9.8005 	EXP 	blk1: fillColor = 'darkgrey'
9.8005 	EXP 	blk1: lineColor = 'darkgrey'
9.8005 	EXP 	blk1: color = 'darkgrey'
9.8005 	EXP 	blk1: fillColor = 'darkgrey'
9.8005 	EXP 	blk1: lineColor = 'darkgrey'
9.8005 	EXP 	blk1: color = 'darkgrey'
9.8174 	EXP 	blk1: fillColor = 'darkgrey'
9.8174 	EXP 	blk1: lineColor = 'darkgrey'
9.8174 	EXP 	blk1: color = 'darkgrey'
9.8174 	EXP 	blk1: fillColor = 'darkgrey'
9.8174 	EXP 	blk1: lineColor = 'darkgrey'
9.8174 	EXP 	blk1: color = 'darkgrey'
9.8342 	EXP 	blk1: fillColor = 'darkgrey'
9.8342 	EXP 	blk1: lineColor = 'darkgrey'
9.8342 	EXP 	blk1: color = 'darkgrey'
9.8342 	EXP 	blk1: fillColor = 'darkgrey'
9.8342 	EXP 	blk1: lineColor = 'darkgrey'
9.8342 	EXP 	blk1: color = 'darkgrey'
9.8505 	EXP 	blk1: fillColor = 'darkgrey'
9.8505 	EXP 	blk1: lineColor = 'darkgrey'
9.8505 	EXP 	blk1: color = 'darkgrey'
9.8505 	EXP 	blk1: fillColor = 'darkgrey'
9.8505 	EXP 	blk1: lineColor = 'darkgrey'
9.8505 	EXP 	blk1: color = 'darkgrey'
9.8673 	EXP 	blk1: fillColor = 'darkgrey'
9.8673 	EXP 	blk1: lineColor = 'darkgrey'
9.8673 	EXP 	blk1: color = 'darkgrey'
9.8673 	EXP 	blk1: fillColor = 'darkgrey'
9.8673 	EXP 	blk1: lineColor = 'darkgrey'
9.8673 	EXP 	blk1: color = 'darkgrey'
9.8679 	DATA 	Mouse:  Left button up, pos=(1334,859)
9.8840 	EXP 	blk1: fillColor = 'darkgrey'
9.8840 	EXP 	blk1: lineColor = 'darkgrey'
9.8840 	EXP 	blk1: color = 'darkgrey'
9.8840 	EXP 	blk1: fillColor = 'darkgrey'
9.8840 	EXP 	blk1: lineColor = 'darkgrey'
9.8840 	EXP 	blk1: color = 'darkgrey'
9.9006 	EXP 	blk1: fillColor = 'darkgrey'
9.9006 	EXP 	blk1: lineColor = 'darkgrey'
9.9006 	EXP 	blk1: color = 'darkgrey'
9.9006 	EXP 	blk1: fillColor = 'darkgrey'
9.9006 	EXP 	blk1: lineColor = 'darkgrey'
9.9006 	EXP 	blk1: color = 'darkgrey'
9.9173 	EXP 	blk1: fillColor = 'darkgrey'
9.9173 	EXP 	blk1: lineColor = 'darkgrey'
9.9173 	EXP 	blk1: color = 'darkgrey'
9.9173 	EXP 	blk1: fillColor = 'darkgrey'
9.9173 	EXP 	blk1: lineColor = 'darkgrey'
9.9173 	EXP 	blk1: color = 'darkgrey'
9.9340 	EXP 	blk1: fillColor = 'darkgrey'
9.9340 	EXP 	blk1: lineColor = 'darkgrey'
9.9340 	EXP 	blk1: color = 'darkgrey'
9.9340 	EXP 	blk1: fillColor = 'darkgrey'
9.9340 	EXP 	blk1: lineColor = 'darkgrey'
9.9340 	EXP 	blk1: color = 'darkgrey'
9.9507 	EXP 	blk1: fillColor = 'darkgrey'
9.9507 	EXP 	blk1: lineColor = 'darkgrey'
9.9507 	EXP 	blk1: color = 'darkgrey'
9.9507 	EXP 	blk1: fillColor = 'darkgrey'
9.9507 	EXP 	blk1: lineColor = 'darkgrey'
9.9507 	EXP 	blk1: color = 'darkgrey'
9.9674 	EXP 	blk1: fillColor = 'darkgrey'
9.9674 	EXP 	blk1: lineColor = 'darkgrey'
9.9674 	EXP 	blk1: color = 'darkgrey'
